order_number,order_date,product_code,producto_id,producto_nombre,categoria,quantity,price,sales,country,country_norm,region,subregion,cliente_id,nombre,ciudad
10107,2003-02-24,S10_1678,1,S10_1678,Motorcycles,30,95.7,2871.0,USA,United States,,,52,Radoslav Blagojević,Kikinda
10121,2003-05-07,S10_1678,1,S10_1678,Motorcycles,34,81.35,2765.9,France,France,,,93,Felix Chow,Hampstead
10134,2003-07-01,S10_1678,1,S10_1678,Motorcycles,41,94.74,3884.34,France,France,,,15,Rasmus Christensen,Randers Nø
10145,2003-08-25,S10_1678,1,S10_1678,Motorcycles,45,83.26,3746.7,USA,United States,,,72,Daniel Denys,Selkirk
10159,2003-10-10,S10_1678,1,S10_1678,Motorcycles,49,100.0,5205.27,USA,United States,,,61,Valentín Moreno,San Sebastián
10168,2003-10-28,S10_1678,1,S10_1678,Motorcycles,36,96.66,3479.76,USA,United States,,,21,Pamela Colunga,Río Florido
10180,2003-11-11,S10_1678,1,S10_1678,Motorcycles,29,86.13,2497.77,France,France,,,83,Letizia Nicolas,Rüegsau
10188,2003-11-18,S10_1678,1,S10_1678,Motorcycles,48,100.0,5512.32,Norway,Norway,,,87,Tomás Solorzano,Catalinas (Francisco Villa)
10201,2003-12-01,S10_1678,1,S10_1678,Motorcycles,22,98.57,2168.54,USA,United States,,,75,Bror Svendsen,Sande
10211,2004-01-15,S10_1678,1,S10_1678,Motorcycles,41,100.0,4708.44,France,France,,,75,Bror Svendsen,Sande
10223,2004-02-20,S10_1678,1,S10_1678,Motorcycles,37,100.0,3965.66,Australia,Australia,,,88,Julio Murray,Shepparton
10237,2004-04-05,S10_1678,1,S10_1678,Motorcycles,23,100.0,2333.12,USA,United States,,,100,Mara Häußler,Meßstetten
10251,2004-05-18,S10_1678,1,S10_1678,Motorcycles,28,100.0,3188.64,USA,United States,,,24,Remziye Stabel,Zweins
10263,2004-06-28,S10_1678,1,S10_1678,Motorcycles,34,100.0,3676.76,USA,United States,,,3,Noélie Bourgeois,Lille
10275,2004-07-23,S10_1678,1,S10_1678,Motorcycles,45,92.83,4177.35,France,France,,,22,Magdalena Pascual,Sevilla
10285,2004-08-27,S10_1678,1,S10_1678,Motorcycles,36,100.0,4099.68,USA,United States,,,53,Vera Teodosić,Svilajnac
10299,2004-09-30,S10_1678,1,S10_1678,Motorcycles,23,100.0,2597.39,Finland,Finland,,,2,Florent Vidal,Caen
10309,2004-10-15,S10_1678,1,S10_1678,Motorcycles,41,100.0,4394.38,Norway,Norway,,,88,Julio Murray,Shepparton
10318,2004-11-02,S10_1678,1,S10_1678,Motorcycles,46,94.74,4358.04,USA,United States,,,30,Nemira Danchuk,Voznesenivka
10329,2004-11-15,S10_1678,1,S10_1678,Motorcycles,42,100.0,4396.14,USA,United States,,,38,آدرین سالاری,شیراز
10341,2004-11-24,S10_1678,1,S10_1678,Motorcycles,41,100.0,7737.93,Austria,Austria,,,2,Florent Vidal,Caen
