gender,email,phone,cell,nat,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,login.uuid,login.username,login.password,login.salt,login.md5,login.sha1,login.sha256,dob.date,dob.age,registered.date,registered.age,id.name,id.value,picture.large,picture.medium,picture.thumbnail
female,jenny.bourgeois@example.com,076 098 91 68,076 295 61 50,CH,Madame,Jenny,Bourgeois,7397,Avenue Joliot Curie,Miège,Schaffhausen,Switzerland,3657,-56.2919,175.7745,-7:00,Mountain Time (US & Canada),7152b189-5006-411b-a16b-8c881e441ede,silverleopard795,golfer,ddxhfUQg,70042defd64dab2ab230a84259e1101f,4b9fefe753e0ab17e8d97de20500a13c16842695,b1559f62813293235748107513c48b48433defff1b8801bb635b943a35538825,1975-06-12T15:37:03.546Z,50,2013-06-10T07:40:31.460Z,12,AVS,756.6720.6341.60,https://randomuser.me/api/portraits/women/7.jpg,https://randomuser.me/api/portraits/med/women/7.jpg,https://randomuser.me/api/portraits/thumb/women/7.jpg
male,florent.vidal@example.com,04-54-59-98-21,06-71-28-04-39,FR,Mr,Florent,Vidal,4161,Rue Duquesne,Caen,Territoire De Belfort,France,46986,-59.7665,36.6681,-8:00,Pacific Time (US & Canada),d64e8928-1ac4-40a5-a2b0-634f26e3e68e,whiteswan924,stella,G5MRn0KL,a55890e8ed862e33105c8a641eb8254e,a2569f417bca588908283236235a51b1a8107b69,a0e3b97e35e779bddc3ebad96fa897012efb5f7e664312131fd204e4268d34a4,1970-12-19T19:41:40.129Z,55,2004-10-02T21:55:58.592Z,21,INSEE,1701110404125 89,https://randomuser.me/api/portraits/men/34.jpg,https://randomuser.me/api/portraits/med/men/34.jpg,https://randomuser.me/api/portraits/thumb/men/34.jpg
female,noelie.bourgeois@example.com,03-24-28-00-23,06-52-23-47-59,FR,Mrs,Noélie,Bourgeois,8651,Montée du Chemin-Neuf,Lille,Yvelines,France,48400,21.5818,75.2816,+4:30,Kabul,3f99deee-7259-4978-bfd3-2c13d176e206,angryfish175,forget,W9NCdDyU,5d48e9b285e67cf10f2682d8951d22b8,8ae70489a44d38a3f496851cabf96cadc5b01f2b,6236e1498dd08a46aa6cbc45b83ca8e74dcb03f5d778bf365ece327b45b665f8,1959-02-06T14:26:29.827Z,67,2018-03-27T08:26:39.961Z,8,INSEE,2590119401313 77,https://randomuser.me/api/portraits/women/69.jpg,https://randomuser.me/api/portraits/med/women/69.jpg,https://randomuser.me/api/portraits/thumb/women/69.jpg
male,eino.tuomi@example.com,07-458-473,043-305-71-27,FI,Mr,Eino,Tuomi,1319,Verkatehtaankatu,Multia,Ostrobothnia,Finland,11030,-80.9601,-4.8317,+7:00,"Bangkok, Hanoi, Jakarta",13969d17-ad26-4f6c-ba70-76c50414cb94,tinygorilla538,robin1,LdrNEsr2,22a15a79e8c37cbe82dc3571185d4852,d8ccd996cc56f23fe1421c3067f6e2534f79f20e,3c66f0a9c1a3489fd5f0e5700d3ff197ecfa303fcb1d2b34a8a3b0c032732d7d,1982-05-09T14:32:45.384Z,43,2004-08-17T18:50:52.567Z,21,HETU,NaNNA491undefined,https://randomuser.me/api/portraits/men/3.jpg,https://randomuser.me/api/portraits/med/men/3.jpg,https://randomuser.me/api/portraits/thumb/men/3.jpg
female,maya.howell@example.com,013873 67169,07445 450333,GB,Ms,Maya,Howell,2377,Highfield Road,Leicester,County Fermanagh,United Kingdom,YZ2 1PH,-10.0917,-72.1400,+4:00,"Abu Dhabi, Muscat, Baku, Tbilisi",d1046844-57b8-4f2e-a024-15553ec2f880,orangefrog990,scxakv,a7uA5L4M,0f2b7e59f8f97a4aa987a8724847ea2f,fbb1cfdf5a864535aeb4929518dbd80b4cc5d7bd,a2d3ab2d7a34e7925ef8f9f6cb765c9e48bac510bced0d1f5fa1e14bbb80f7a3,1984-05-05T00:41:04.025Z,41,2016-04-07T00:07:25.974Z,10,NINO,KS 84 37 79 H,https://randomuser.me/api/portraits/women/40.jpg,https://randomuser.me/api/portraits/med/women/40.jpg,https://randomuser.me/api/portraits/thumb/women/40.jpg
female,fatma.beserler@example.com,(057)-451-0155,(596)-939-7255,TR,Ms,Fatma,Beşerler,3731,Vatan Cd,Iğdır,Artvin,Turkey,85623,20.2707,-159.3224,-2:00,Mid-Atlantic,4a744dce-67a1-40a7-8e6c-45508b24c7f2,brownbutterfly386,prosper,kwhoqG7W,fc79b9281ac8771136a624727cc56864,d7bca5bc12c3381c1cc76e574ef65addcab60355,4a0c55e336c3cc2362342ff6097d1fd0cf59c721b76b1cad71a3be38d8663bef,1946-02-28T23:08:02.327Z,80,2005-06-27T19:34:22.494Z,20,,,https://randomuser.me/api/portraits/women/12.jpg,https://randomuser.me/api/portraits/med/women/12.jpg,https://randomuser.me/api/portraits/thumb/women/12.jpg
male,elio.giraud@example.com,04-75-79-89-28,06-42-65-25-08,FR,Mr,Elio,Giraud,7317,Rue de L'Abbé-Rousselot,Colombes,Ille-et-Vilaine,France,30148,-5.5714,46.5174,+3:00,"Baghdad, Riyadh, Moscow, St. Petersburg",b6b93473-70f5-46e9-a9c8-5fbb6ceb9ca9,angryzebra897,health,o0FBOVF9,910ad8d2d97710b30243bc34c5de842e,67b82d90a1d12c578df6e2a248506930d88db805,860957e275ad1ec77589a6858e1620f981515cf514b1ae8d3d9f10a3c8a42c1a,1964-06-07T09:05:48.732Z,61,2022-04-18T18:15:06.762Z,4,INSEE,1640519334340 86,https://randomuser.me/api/portraits/men/34.jpg,https://randomuser.me/api/portraits/med/men/34.jpg,https://randomuser.me/api/portraits/thumb/men/34.jpg
male,eduardo.trevino@example.com,(682) 101 3499,(645) 014 4786,MX,Mr,Eduardo,Treviño,9007,Avenida Distrito Federal,Ozuluama,Durango,Mexico,25050,34.6515,-26.5518,+3:30,Tehran,2b822a18-97c7-4a62-8e7a-cd5bb9abbb29,purpledog622,phyllis,fUVrWNF0,9bd3d071496c9f28171cf38e5d5241fa,d775ba7aaf415da1b5542c5883acba9853d1cc70,24eaa0619d93907b5c10a555d09df2ad33401c34b0214878607bec4f918454af,1952-06-27T07:58:23.871Z,73,2004-06-02T15:17:37.171Z,21,NSS,97 05 56 8984 2,https://randomuser.me/api/portraits/men/70.jpg,https://randomuser.me/api/portraits/med/men/70.jpg,https://randomuser.me/api/portraits/thumb/men/70.jpg
female,rosa.calderon@example.com,(694) 378 3364,(619) 867 7686,MX,Ms,Rosa,Calderón,5384,Viaducto Hidalgo,San Luis Soyatlán,Veracruz,Mexico,71258,85.5511,61.8863,+3:30,Tehran,69787909-f91d-4fb5-9fe9-4f75f188748b,blackgoose529,cola,Z3Q9lm02,7201e57e7f57de8f80c727b67df00069,5e238f17ddfdeaa7e380860eb524cbd13cf3599e,66e15ce2310c2a69fc9193f4326538233a7359720bd74a2ee19e7933a2be0bd4,1972-10-24T19:38:36.513Z,53,2005-05-18T15:47:10.007Z,20,NSS,18 12 47 8133 4,https://randomuser.me/api/portraits/women/50.jpg,https://randomuser.me/api/portraits/med/women/50.jpg,https://randomuser.me/api/portraits/thumb/women/50.jpg
female,nadia.mayorga@example.com,(657) 810 9391,(605) 293 5195,MX,Mrs,Nadia,Mayorga,5118,Diagonal Sur Bañuelos,Carapán,Hidalgo,Mexico,31498,47.3863,-61.9600,+1:00,"Brussels, Copenhagen, Madrid, Paris",5f43e077-4d28-47ca-9d57-3bc2d477d157,blueswan284,godfather,cFJbImNZ,518f44560d6cae04fc2cf7051fe58862,ad60e3e10b9e8e3a2110533e77e663864f155794,5df2e8c090743e87b184e4cadadedd86d4a3033af2a9668b27c9d2f21cef40cc,1976-11-27T00:02:34.744Z,49,2006-11-24T17:42:08.091Z,19,NSS,61 64 42 9823 6,https://randomuser.me/api/portraits/women/90.jpg,https://randomuser.me/api/portraits/med/women/90.jpg,https://randomuser.me/api/portraits/thumb/women/90.jpg
